Index,Team,GP,GS,Mins,G,A,S,SOT,KP,Tackles,FC,FS,OFF,YC,RC,P
505,Bay FC,12,2,260,0,0,2,1,0,8,5,1,2,1,0,D
557,San Diego Wave FC,14,2,263,0,1,4,1,1,2,10,5,3,2,0,F
601,Bay FC,8,2,238,0,0,9,3,0,6,14,5,4,1,0,F
602,Bay FC,9,2,240,0,0,10,3,0,6,14,6,4,1,0,F
606,Seattle Reign,10,2,271,1,0,3,3,0,4,9,5,1,0,0,F
642,North Carolina Courage,5,2,248,1,0,3,2,0,2,1,2,0,0,0,F
58,Chicago Red Stars,14,3,389,1,1,5,2,1,6,13,8,3,1,0,F
61,Washington Spirit,12,3,303,0,1,5,1,1,11,10,3,2,0,0,F
76,Chicago Red Stars,6,3,260,0,1,5,2,1,4,2,1,1,0,0,F
153,Portland Thorns,9,3,415,0,0,1,0,0,1,3,3,0,1,0,D
201,Chicago Red Stars,13,3,304,0,0,3,2,0,1,7,6,0,0,0,M
250,North Carolina Courage,11,3,397,1,0,9,4,0,5,10,6,0,3,0,M
270,Utah Royals FC,8,3,261,0,1,0,0,1,2,1,2,0,0,0,M
275,Utah Royals FC,14,3,341,1,0,8,5,0,7,5,8,1,0,0,M
303,San Diego Wave FC,4,3,271,0,0,0,0,0,0,1,1,0,0,0,G
304,Angel City FC,3,3,270,0,0,0,0,0,0,0,0,0,0,0,G
373,Portland Thorns,8,3,286,0,0,1,0,0,2,1,0,0,0,0,M
376,North Carolina Courage,18,3,306,0,0,2,2,0,12,2,4,0,0,0,M
446,North Carolina Courage,10,3,297,1,0,2,1,0,9,2,6,0,0,0,D
448,Chicago Red Stars,8,3,420,0,0,1,0,0,8,4,0,0,0,0,D
450,Seattle Reign,9,3,275,0,0,3,2,0,6,5,4,0,1,0,D
492,Orlando Pride,9,3,285,0,1,1,1,1,8,4,4,0,1,1,D
498,Angel City FC,13,3,364,0,0,1,1,0,7,1,3,1,1,0,D
515,Racing Louisville FC,3,3,252,0,0,1,0,0,2,1,0,0,0,0,D
523,Angel City FC,5,3,262,0,0,0,0,0,2,2,3,0,0,0,D
576,Chicago Red Stars,9,3,231,0,0,3,1,0,11,2,4,0,0,0,F
578,Chicago Red Stars,7,3,190,0,1,1,0,1,3,3,1,0,0,0,F
589,North Carolina Courage,6,3,309,1,0,6,3,0,2,2,3,0,0,0,F
591,NJ/NY Gotham FC,11,3,307,1,0,1,1,0,8,2,1,3,0,0,F
619,Washington Spirit,25,3,528,3,0,18,9,0,6,2,8,4,1,0,F
639,Utah Royals FC,18,3,553,1,0,10,7,0,6,12,6,7,2,0,F
46,Racing Louisville FC,16,4,486,0,0,13,6,0,4,11,9,3,1,0,F
53,North Carolina Courage,14,4,453,1,1,10,5,1,4,8,6,2,0,0,F
56,Utah Royals FC,14,4,370,0,1,7,0,1,4,11,10,1,3,0,F
63,Utah Royals FC,11,4,479,2,0,13,6,0,1,6,7,0,0,0,F
69,San Diego Wave FC,8,4,344,2,0,7,5,0,3,9,4,3,0,0,F
82,Racing Louisville FC,4,4,255,0,0,4,1,0,1,0,1,2,0,0,F
99,Seattle Reign,11,4,334,0,0,0,0,0,12,3,5,0,0,0,D
148,Orlando Pride,4,4,360,0,0,1,0,0,2,9,2,0,1,0,D
186,Houston Dash,5,4,309,1,0,9,3,0,5,5,7,0,0,0,M
